80.000	0.020	1.000	1.000	1.000	1.000	1.000	1.000	1.000
70.000	0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60.000	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50.000	0.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40.000	0.830	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30.000	1.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	1.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	2.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	2.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.000	2.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-20.000	3.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-30.000	3.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-40.000	3.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-50.000	4.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-60.000	4.690	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-70.000	4.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-80.000	4.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000
